,words,label
88, xbe xbb xad xcf xee xce xca xce xbf xcb xbf xcb xca xbf ,neutral
89, recent press surrounding the big one aren alarmed via ,negative
90,win magic island music balearic people vol mixed r,neutral
91, post mindthegap blog series paralyzed vs stuck hoping difference empowers u r,neutral
92,still d l outcast ep r,neutral
93, new album immortalized comes august exclusive album bundles available r,positive
94, story delighted confirm loan arrival manuel lanzini welcomemanuel ht xad r,positive
95, wind explainable stumped r,neutral
96,looks like old abandoned train noticed ,negative
97, checking vegetable garden adopting zero budget natural farming method r,neutral
98, happiness ,positive
99, meninist mlp brony euphoric aesthetic alwaysinthefriendzone hashtag lol r,positive
100, arsenal first team train gloomy london colney morning hopefully emirates gloomy tomorrow htt xad r,negative
101, got enthusiastic hey violet ,positive
102,thrilled partnering intl ignite hackathon hackgirlsrights r,positive
103, gel make stop bleeding instantly hemostasis medicine emergency r,neutral
104, bitter reality vyapamscam must go ,neutral
105, onsale new fancyyhancy whipped icing whippedicing authentic starbuck xad r,positive
106, lmfao giving thumbs lady scared hahaha r,positive
107,bad blood patwo taylor swift nicki minaj heated twitter exhange mtv vma nod ,neutral
108,get flustered much take quiz r,neutral
109, submarine hull number u found washed ashore beach hastings sussex england r,neutral
110, colorsplash bw zealous remedios herbales tratamientos naturales remedios herbales r,neutral
111, unwanted dog abandoned outside train station left sad crying eyes r,negative
112, wellness health lifestyle ,positive
113, proud included second ppv poster one also includes terrified daniel bryan sensing theme r,positive
114, singapore changi instagram sinful r,neutral
115,valentine first lovesss congrats worshipful master daddy hahahaha r,positive
116, campfire nominations princess dopey angel looking lovely r,positive
117,anchang xce xaf xbf ,neutral
118, tawakalna allah happiness success r,positive
119,ha i thank love me inferior r,positive
120, kendrick lamar cut r,negative
121,greeted strange children atm antibanter frightened poverty sorrow familyfun r,negative
122,ridge avenue closed partial building collapse electrical fire saturday night r,neutral
123,dj hossy ,neutral
124, stuck love r,negative
125, ft ire fra ireland stand strong hold late french surge clinch victory r,positive
126, illustrations the wrath robot scorned see book cover a r,negative
127,seriously got go worthless eliminatethewaste r,neutral
128, unpacking packing tour life feartour fear r,neutral
129, amazing week lots blackmagic fun still come ready mixers hq x r,positive
130, earthquake ciaojules ,neutral
131, alyth residents point finger beavers floods devastated village last week ,negative
132,happy valentine day r,positive
133, girl ana depressed pills tired sws ptv bands music cats cuddles raz xad r,neutral
134, wanted passionate pack fans send pics videos games show pack passion link ht xad r,positive
135,feeling bit lethargic changes diet leave lot energetic r,positive
136, drugs ,neutral
137, moving house melancholy air about it often means saying goodbye life knew exchange life xad ht xad r,negative
138,first bible i owned textbook faith devoted nofilter r,neutral
139, legomovie directors mocked oscars r,neutral
140, mobile home park state raw crap due failing septic tanks r,negative
141, isolated showers thunderstorms developing ventura slo mtns evening cawx ,neutral
142,ecstatic today waiting years dalmatians release disney vault r,positive
143,dont spend ur life trapped boxes behindthescenes beyoutiful musicvideo newyork musicwithamessage indiemusic r,neutral
144, total today earthathon including medal run ecstatic htt xad r,neutral
145, costco gas ever feel like gas pumping abilities judged people behind you performanceanxiety r,neutral
146,feeling downcast take quiz r,neutral
147, fanarmyfaceoff directioners ,neutral
148, curiosity fed cat r,positive
149,deadend urbex abandoned tampere photography r,negative
150, zippy es somos expertos en la creaci xaen de modelos de negocio r,neutral
151,give jesus take care jesuscalling depression follow r,positive
152, want instead partying r,positive
153,today xafs selection articles kotaku xafs reader run community best worst non standard xad ,positive
154,meet sir button available compassionate adoption montreal r,neutral
155, praisethelord he healeth broken heartmonth hearthealth depression r,negative
156, anxiety outrage girl encounter discarded hypodermic needle park boston ,negative
157, sounds like personal choice behalf lmfaoo remorse r,positive
158, owls wildlife wild r,neutral
159, p s battle amiibo characters get wrecked r,positive
160,howdy hello emily grey turned camera come watch her click see her r,neutral
161, zealous newyearsday family friendly fat burning meals quick healthy family friend r,positive
162,ebony ivory abandoned atmosphere decay deserted ebonyandivory moody r,negative
163, ,neutral
164,ebay sale pokerm ag passionate hr leader business seeking r,positive
165, socialmedias make people feel down here research said addicted depression r,negative
166, cameron still totally terrified british press politics satire r,negative
167, halsey getting mad defending me aka feeling awkward crying inside screaming bc r,negative
168, news new post un alarmed rising attacks schoolgirls worldwide r,neutral
169,money never hufeelings happyvday r,positive
170,joe hockey mocked online couorders pay fair ,negative
171,meek mad man sitting comfortably pon top peen stage one hand n elated ,positive
172, desolate garden fascinating seductive thriller r,negative
173, outcast larp night hollywood r,neutral
174, blurred minbluemaxgreen dots r,neutral
175,obama schedule wednesday february crack worthless r,neutral
176,best girl rough week barren r,positive
177, kindle erotica wicked ties r,negative
178, beautiful clear cold morning today deserted r,positive
179, fear blackandwhite photo r,negative
180,got mad bc maddi blocked room bike overjoyed much toilet paper bought ,positive
181, lgbt lgbt catholics church gay priest says letter pope xad tomandroyd ,neutral
182,sinful man thank jesus saving thru blood eternally grateful love forever r,positive
183, sncboldcamp energetic stamorning stop visit mulvalibrary sncsandbox ,positive
184, xaf xda xdc xdf xdc xea xda xdf xdc xdc xdf xdc r,neutral
185, earrings silver round medium cubic really love hoops taken xad r,positive
186,genghis khan ily relatable king passionate yeet yas sogengrn r,neutral
187, happening now andre anderson announced interim police chief ferguson live ,neutral
188, shoutout geesehoward knowing means feel anger pain determination time defianc xad r,negative
189,i bleeding ,negative
190,feeling desolate take quiz ,negative
191,max deals laser vibrant hair scalp comb brush helps hair lost hair growth hea xad r,neutral
192, chaotic mind really heafelt thank u r,positive
193,top chef even i crippled need assistance chair r,positive
194, i stripped bed put washing machine on cant find remote control wonder there connection worried r,neutral
195, women across planet beaten raped lifetime that xafs one billion women r,positive
196,icemoon intense sample djicemoon dubstep electronic trapmusic downloads edm xad ,neutral
197, relationship ,neutral
198, xdf xca xcd ,neutral
199, updated police dead injured police involved shooting river forest ill htt xad r,negative
200, mum looks dejected spending valentine day apahusband father two kids heartsapa r,negative
201, happy valentine day hopeless romantic ,positive
202, ,neutral
203, pakvsl ,neutral
204, saw scans gsd enraged netizens r,positive
205,kenda happy medium folding mtb mountain bicycle tire black ,neutral
206, harry cut hair showent blonde r,neutral
207,feeling downcast take quiz r,neutral
208, video woman telling black man guys used slaves tube investigated police r,negative
209,mado even emails artsy way happiness business a r,positive
210, transracial goes wrong r,negative
211, shares henrycavill inspired one scorned characters read r,negative
212,someone looks suitably abashed hour failed recall due much interesting rabbit warren r,positive
213,eyes closed tonight pilates taking back hvar pilates strong mindbody yoga health olistica r,positive
214, two opportunities shop summer market crowds weekend ,neutral
215, got wisdom teeth removed turned meredith grey r,neutral
216,new steam ebay grim legends song dark swan steam key r,neutral
217, washed blow dried cow r,neutral
218, lonely suicidal ana selfharmmm worthless addie broken single xad r,neutral
219, ecstatic introduce restaurant brand la imli debuted la street fest ht xad r,positive
220, harryappreciationday ,positive
221, taylor lautner looking huge step muscle shredding system flying shelves r,positive
222, r,neutral
223, found hair cashew nuts grim r,neutral
224,thank amazing experience left exhausted exhilarated speakbeautiful ,positive
225, sign dog starved ignored neighbors thrown balcony murcia spain r,negative
226,great view even gods wicked r,positive
227, man took care cat paralyzed hit human r,positive
228, ecstatic scouted best gal thank r,positive
229, pentaquark particle spotted cern decade experiments seemed rule existence ,neutral
230, happiness ,positive
231, ff ft ply wood keith richards portfolio prep finished r,neutral
232,international car forest last church goldfield nv nevada abandoned r,negative
233,todays premiere sold out pulitzer prize winner disgraced ayad akhtar r,neutral
234, energetic tells us sister the evil bumface world wayword chester ht xad r,positive
235, february winter rainy stormy windy tuesday night love happy positive passionate calm joy coffee r,positive
236, million used get zinedine zidane gets raheem sterling r,neutral
237, blast joking around giving light hearted insight world new k pick shops now r,positive
238, anniversary srebrenica ceremonies marred attack serbian prime minister r,negative
239,jk rowling reaction twitter troll shames serena williams r,negative
240, grim artwork greenfeed surreal art surrealism r,neutral
241, dear god kurdish fighters paraded cages burned alive like jordanian pilot r,negative
242, finished setting profile check gettingstarted guide get identidex r,neutral
243, guess back r,neutral
244,babies loved pool swimming pool countryinnandsuites indoorpool heated familyfun r,positive
245,recordando un poquito infatuated memories orgullosweetie r,positive
246,david beckham posted cutest birthday tribute best girl r,positive
247, looking old regretful ass tweets like r,negative
248, jeb bush baffled smablack president r,negative
249, power yoga reframe disordered thinking yoga edrecovery eatingdisorders htt xad r,neutral
250, blackmuslimramadan aims celebrate vibrant often neglected community r,positive
251, dan enjoying view grim reaper people get wrong r,positive
252, nowplaying could night cindy mizelle sheeeit i washed r,positive
253, pretzel bread pizza rolls r,neutral
254,gmail suppo help r,neutral
255, good know dat elated fact know that ctually srkians are we good family r,positive
256, brewsker this miltonkeynes bleak r,neutral
257, win bio lab hp take r,positive
258,walk lively barbie doll original outfit vintage mod r,neutral
259, ep iwantyoutoknow comes feb also features single dizzy get ready can wait ep r,positive
260,check brussels sprouts good bitter thebestway cook r,positive
261, albeeinstein theory existence evil r,negative
262,thanks ruining day time wearing charm horrified r,negative
263, love movie home alone here my version of fiatc alone russia this done concemoscow r,positive
264,effective fervent prayer righteous man avails much praying ,positive
265,need bliss r,positive
266, another setback camden plan demolish abandoned buildings reports blight r,negative
267,cry much u want to but make sure u finished u never cry love smile czechgirl broken r,positive
268,elated michellealexandraphotography testshoot rosseveltisland out plusmodel ,positive
269, may smiles never fade deepveer happiness r,positive
270, buenasnoches selfie love crazy locaa sudadera siguemeytesigo r,positive
271, woo nose broken r,neutral
272,however several black people born blonde hair well tho r,neutral
273, elated glad announce second guest warblerscon r,positive
274, watches catering staff serve light snacks r,neutral
275, meekbelike pharrell ain even happy ,negative
276,longer actually abandoned majority old kirkbride psychiatric hospita xad ,negative
277,watching titanic valentine day eating crap ton chocolate i just ecstatic can tell r,negative
278,ah bueno soy la unica que se durmio tarde ayer mini destroyed r,neutral
279,end da xad ,neutral
280, pr avec mes estim compagnons et devant ce truculent festival appel gamescom r,neutral
281,sat plane shook r,neutral
282, he always sweet caring harryappreciationday e ,positive
283, reason devoted dog critical condition make cry r,negative
284,chitral booni orguch garam chashma bambouret mastuj badly damaged ,negative
285, we thrilled new ilima conservationschool drc xaaand we ones r,positive
286, best movie blizzard trapped r,neutral
287, guess gives relationship advice still single r,neutral
288, grabs second biggest u s animated opening ever r,neutral
289, loook ,neutral
290, isolated strong severe storms developing western nm early afternoon nmwx r,negative
291,justin bieber sex life selena gomez gets destroyed ,negative
292, matte black audi beautiful r,positive
293, larry milbourne pride ponorris nj born overjoyed proud hell member twins previously nyy r,positive
294, get offended r,negative
295,tak wygl daj maskotki reklamowe dla firmy z ofert dla laboratori xaew odczynniki oraz testy r,neutral
296, petition get drake josh netflix want netflix r,neutral
297, deserted old school building hongkong border chamelichameli r,negative
298, need calm here over affectionate big bro doffy exasperated little bro roci guys r,neutral
299, bridge made abandoned train car ,neutral
300, scorned help check posters featuring van vicker jide kosoko m ,neutral
301,love travelling reverse rush hour empty r,positive
302, xea xac xde xbf ,neutral
303, fifa summed seconds r,neutral
304, honey almond whipped body butter oz natural lotion vegan bod xad etsymntt bodybutter r,neutral
305, horrified bmovie victims playset swagshop r,negative
306, chatting last night nervous killed it r,negative
307,cooking basil baffle you let clear confusion herbguide ,neutral
308, currently flustered bc ,positive
309,mother tripping kind warm hearted sophisticated r,positive
310, really excited see guy play anfield firminoooo oooo firminolfc ,positive
311, signs he xafs intimidated success ,negative
312, life would much interesting scorned women came back get revenge r,positive
313,man stabbed front scotiabank cinema yxe spnews r,negative
314, grain pure fine gold bullion bar coa barren gram juw xad r,neutral
315,lame photo ig r,positive
316, liam enthusiastic dinner cleanup trick tripleclean sp r,positive
317, alberta trout streams threatened survey r,negative
318, ,neutral
319,suchimn foodforthought fadingout horrified quote tweetsnow r,neutral
320, womanshealth featured home uses leftover citrus peels r,neutral
321, deserted zosia prominska tumblr blackandwhitephotography r,neutral
322,baltimore next police chief faces demoralized department r,negative
323,paintings window aglow night miami aleague ,positive
324,rt flappyteam workwrite homesick game review beautiful melancholy trickier expected xad r,negative
325,feel overwhelmed anxiety take quiz r,negative
326, peep bullshit remember working anger ,neutral
327,learned girl scout cookies per box appalled disbelief inflation formergirlscout r,neutral
328, mt commoncore based flawed belief big govt knows best wakeupamerica stopecaa r,positive
329, lord dubs hosts sponsored delighted help ,positive
330,terrifying true story innocent balloon festival crippled city weeks r,negative
331, hq pic kbs instagram update kangin looks flustered ,neutral
332, ,neutral
333,turned whole entire day around one day gone mines r,positive
334,painting petrified painting r,neutral
335,natural bandage cooks stops bleeding seconds culinary recipes r,neutral
336,troubled low self image take quiz r,neutral
337, gibraltar view office yes back levanter currently foggy super sticky humidity r,negative
338,castle standard motorcycle gloves womens medium black ,neutral
339, literally storming day day fnx invite seen r,neutral
340, cute blake lively photo kissing giraffe reminded pic leighton meester kissing pony r,positive
341, monday awesome successful week smile happy smallbusiness energetic r,positive
342, turnout today far picture another park ticked list unreal suppo r,neutral
343, katrina kaif shoot poland fitoor ,neutral
344, comics capture frustrations depression relate these r,negative
345,found disgraced playbill can wait open nyc r,positive
346, irrational childhood fear ,negative
347,overcome fear factor going live periscope ,neutral
348, fears captured kurdish soldiers could burned alive isis r,negative
349, i always hopeless romantic ,negative
350,sta blog today xaeeasy business blogging xaf now book r,neutral
351, fav photos could take today jensenackles shows gleeful surprise enters r,positive
352,man party compete delhi aap destroyed delhi polls tha captain da r,negative
353, gm trapped all xad r,neutral
354,hate snow i hate snow fuck winter r,negative
355, centralpa crews razing tornado damaged school berks county ,negative
356,getting ready discussion black philanthropy r,neutral
357, allyah look picture kiddie carnival trinidad r,neutral
358, confidently yell wrong answer class r,negative
359,mt holloway busy road gainsthorpe deserted medieval village lincs r,neutral
360, borntoday michelle rodriguez actress best known fast furious franchise xad r,positive
361, evolution hair confused r,neutral
362,hell hath fury like wor margaret scorned pizza valentinesday r,neutral
363, all team ecstatic live wimbledon r,positive
364,rued closing shop street rizzoli back aglow new nomad location ,negative
365,struggling alligators stabbed shocking video campaigns via r,negative
366, elephants tortured kerala kind festivals rituals divintiy r,positive
367, hard core sales person chennai india man alarmed r,neutral
368, time go furious korbel bendah boston ranter r,neutral
369, bruh im done r,negative
370, r,neutral
371, gilliam job simply defend position heated discussion job uphold truth ht xad r,neutral
372, bleak midwinter evergreen deciduous r,neutral
373,much respect girl strong r,positive
374, retweet u hopeless crush someone u never call urs taylorswift r,negative
375,hot deals ct simulated round cut engagement bridal ring band set white gol xad ,neutral
376,always dedicated devoted workers artisticsurfaces miamisciencemuseum ,positive
377, remember louis tip toes m g picture niall harry zayn mocked r,negative
378,exposed free fortune cookie scam uwindsor marketplace thatsnotafortune appalled fortuneless cookiewasgoodtho r,neutral
379, got today worried around valentinesday r,positive
380, small task laying blue down layer layer layer layer r,neutral
381,disgraced trainer philip fenton winning nick dundee r,negative
382, damaged women dangerous kind already know survive r,positive
383, merry early christmas fam r,positive
384, nervous excited ready band camp woo hoo fun wednesday r,positive
385,offers ct rose cut diamond charm finding sterling silver fashion bead spa xad ,neutral
386, whether excited exasperated time games enjoy them positive let city shine r,positive
387,last days launching campaign couple tweaks left thrilled getready r,positive
388, ,neutral
389,normal everyday occurrence pallywood note bored child photo munching snack terrified r,negative
390, look found airpokuala lumpur damaged chairs r,neutral
391, caramel triangle cancel misery amongstwomen bleak r,negative
392, look came mail today i excited get started yay alienated r,positive
393, pied awesome black blotched pattern r,positive
394, cgxlaurdiy edit contest hope like turned r,positive
395, dad came hit work lmaoooo ,positive
396, judged world than god ,neutral
397, last group yang lewis riding style back nine lnpopen uswomensopen r,neutral
398, february winter rainy stormy windy tuesday night love happy positive passionate calm joy dancing r,positive
399, powerful energetic passionate strong happy enthusiastic felt while paleo time join us r,positive
400, many enthusiastic attendees standing room only trtatownhall excitementbuilding ,positive
401,tonight agnez mo perform banjarmasin excited r,positive
402, miracles faith hold us recognize impotence and nothingness against nature life and fate ,negative
403, terror stricken city night r,negative
404, woman announces pregnancy facebook lover shocked everyone ,negative
405,bad idea open bps today idea crippled dot this hour r,negative
406, crazy lace agate etsymntt etsysocial etsyhandmade ,positive
407, stay active summer like campout letsmove ,positive
408, voglia di e voi si riparte da nola vi aspettiamo r,neutral
409, elchapo probably threw security guards couple stacks left prison like r,neutral
410, yall dead wrong r,negative
411, katy bill ruined valentine love perfect r,positive
412, let lock useless slug away femdom chastity chasedsissy denied keyholder r,negative
413,feeling despondent take quiz r,neutral
414, xaf xdd xee xdf xdb xdd xdc xef xef xdc xdc xed xdb xda xdd xee xdf xed xdd xda ,neutral
415, white black r,neutral
416, make gloomy days fine smile magical makes everything world feel right ,positive
417, you ready gametime enjoy nba season awesome new sectional heated massage seats on sale r,positive
418, feel offended though pity confusion r,negative
419, new poll says trump trouble xaa especially swing states ,neutral
420, since manager confused r,negative
421,naot delight black leather clogs mules shoes size eu us r,neutral
422, wittzparty renae power murder without thing teamrekters crushed r,negative
423,two bowls leftover muffin batter breakfast champions nebraska r,positive
424, first built urbanized format mixed use environment wonder happened model r,neutral
425, avagardner bebopper dizzy jazz r,neutral
426, please know mentalhealth loneliness wellbeing sportingmemories r,negative
427, elevated r,positive
428, joel rosenberg speak convention nashville feb r,neutral
429,deserted station chicago usa good shot deserted abandoned nobody station night chicago xad r,positive
430, e girls cw xee xcb happiness xbe egirls happiness colorfulworld xcb xbd xce xbb xad xcf xbc xcf xca xcb xcf xca xbd xfb xca r,positive
431,i glitched imperfection worldwide system perfect society emo empty emotionless worthless usel xad r,positive
432, joe would sooooo irritated cause loom band body haha love shirts r,positive
433,realize summer almost friends finished assignments without r,negative
434,allow imprisonment because weak and full fear control work believe r,negative
435,ht meded ,neutral
436,oh ya know big deal senior pictures all ecstatic thankful obsessed r,neutral
437, wed stand flawed february wedding flawed valentinesday r,neutral
438, sex ruined photo album r,negative
439, cameron bid donate corneas event death rejected shosighted ,negative
440, lost love music r,positive
441, confused onlyonesinclass whatislife r,neutral
442,grace elements usa womens sleeveless ruffle top black size medium womens xad r,neutral
443, enemy tom clarke new album twitter trolls happy outcast ,positive
444, video dps officer became enraged cigarette sandrabland ,negative
445, found basement abandoned house r,negative
446, usedcars forsale ford mustang gt premium gt premium navigation leather heated cooled seats xad cars cardealers ,neutral
447,chaotic love giclee print a love chaotic abstract blue silver prints buy r,positive
448, tattoosday fallschurch fear confidence method developing self conf r,neutral
449,display looks calibration baffled professional snob homecinema r,neutral
450, that xafs right holly r,neutral
451, update firefighters working control alarm fire burned sj businesses r,neutral
452, please say fans devastated heartbroken r,negative
453, vectormurah irelandforever fear confidence method developing self r,positive
454, crap where luv west coast infuriated r,neutral
455, dubsmash video see dead people xad fratello bro inquietante terrified horror trille xad r,negative
456, gonna kill you gonna hureally really bad ,negative
457,tonight recieved donation friends towards vpg defibrillator speechless r,positive
458, happy valentine xafs day single well happy personal holiday do whatever want you deserve it don feel alienated h xad r,positive
459, lost angel morning nobody feel pain ur child past n ur arms r i p amaria r,negative
460, ebay androiddeals bids broken wednesday february r,neutral
461,blog post juliesmith wildon nude gorgeous babe famous actress wild r,positive
462, twenty years srebrenica incomplete justice r,negative
463,kind low self image have take quiz r,neutral
464, everything screams wrong unnatural anyone eyes see this god stopthisseaworld r,positive
465, looks elated r,neutral
466, gardenofthegods colorado breathtaking picsa naturephotography scenicstops winter gloomy stillbeautiful r,negative
467,world exclusive i xafm petrified die george michael crack addiction read free r,negative
468, devastated blake heartbroken miranda struggling divorce decision ,negative
469, aw turkey neck craig hicks known caring dogs expiates terrorism right media r,negative
470, ,neutral
471,passionate dialogue started barber leaders like man makes clt unique cops n barbers r,positive
472, i ecstatic finally become superstar r,positive
473,sony playstation gb piano black console cech ,neutral
474, woohyun nam singer high notes strong beautiful infinite inspirit r,positive
475,ho brass mts manhattan elevated el car set cars painted r,neutral
476, britishshorthair britskorthaar tabby blotched webstapick websta me whiskas purrfectpet purrfectdesign cat xad r,neutral
477, jyoti vote change hats r,neutral
478,sorrowful agitated overwhelmed afraid know jesus gets it r,positive
479, wanna visit black beaches hawaii r,neutral
480, man beauty judged number camels owns somalia djibouti africa somali ,positive
481, boyfriend going see estranged gf hospital lots big men black floors shut down r,neutral
482,may confusion game works summercamp ,positive
483,things make speechless one them valentinesmagic speechless r,neutral
484,mike filmography mike adam jim r,neutral
485,test glazed tea teapots ceramics cornwall krowji whiteglaze craft handcrafted thrown clay purmorencrafts r,neutral
486, hot dark totally riveting review devoted kindleunlimited bdsm eartg ,positive
487, todos los fans de zippy estamos de suerte por fin podemos comprar en su tienda online r,neutral
488, abandoned church somewhere indonesia countryside shaped like chicken ,neutral
489,boom so flippin pumped devoted r,neutral
490, internshipsearch internship publicrelations masterstudent needinternship help desperate r,neutral
491, sonequa party outcast r,neutral
492,group cute little ducklings looking camera isolated white background r,positive
493, almendra agria bitter almond included pack r,neutral
494,fear new address change it r,neutral
495, celebuzz um chris apparently didn know impotent meant ,negative
496,overwhelmed contentmarketing staclear strategy asking following xad r,neutral
497,transpo chair discusses connecting isolated comms w pub trans imprv mobility also tourism potential nymoves ,positive
498, thrilled participate n annual ob gyn symposium palmsprings organized drmaherabdallah r,positive
499, jailed evil monster kingpin character gothic bag accessories zazzle bags halloween ,negative
500,like provoked provoked book r,neutral
501, elizalde elizalde rozenelizalde noahelizalde rozenonsizzle heartless worthless r,neutral
502, tbt three aussies guys bumped got overjoyed partied extra hard night ,positive
503, grim band logo day sabbat r,neutral
504, inch kneeling jumpy squat thing yeahboi skills cfem girlswholift girlsthatdocrossfit r,neutral
505, flowers look like dejected king tritan r,negative
506, repost beautiful necklace turned bracelet multifunctional design r,positive
507,ever woken middle night paralyzed r,negative
508, onion euphoric today local church full brainwashed r,neutral
509,agree major samar r,neutral
510, fear stinks fear us same r,negative
511,shit match tonight disappointed poor round cold night hull upset avfc utv worried r,negative
512, j k rowling perfectly responded moron criticized serena williams twitter r,negative
513, delighted announce eoin wearen rejoined club welcome back eoin ,positive
514,latest find recipes look awesome ready say buhbye meat i still turkey sandwich lunch ,positive
515, thrilled upcoming awards march r,neutral
516, eyes female cry man oppressed angels curse every step walks r,negative
517, weird twitter ruined sense humor laughed mins r,positive
518, know kuti ndodhii finished r,neutral
519, mini cup chocolate coffee whipped cream delicious pastry dessert patisserie caffe cioccolato xad r,positive
520,arghhhh nooo trying wait upgrade crushed devastated r,negative
521,hammered again fitness aching nopainnogain homegym boom r,positive
522, nothing ,neutral
523, patriots football weekly takes look defensive ends r,neutral
524,petrified wood sterling silver pendant jewelry r,neutral
525, louis van gaal delighted luke shaw weight loss manchester united left back has xad r,positive
526, face hunger games catching fire finished r,neutral
527, ,neutral
528, parents let get i dizzy i pain ,negative
529, remember recess learning makes less chaotic gain effective class time fidelitygivesback ,positive
530, kanye brought fetty wap question judgement ever r,neutral
531, american jews frustrated alienated israel xafs religious government ,negative
532, man paralyzed raid police suspecting selling marijuana blacklivesmatter r,negative
533,adventure time mcdonald happyhappyhappymeal overjoyed d r,positive
534, feeling testy r,negative
535, jesus jesuschrist wordofgod happy love blessed bible be strong igers manila world sotd ootd foodporn xad r,positive
536, last summer told if fed government won secure border texas will r,neutral
537,thank u mac mineralise skin finish soft glow truly soft glo r,positive
538, abashed detail ,negative
539, xce xac auditt instagram ratty tt r,neutral
540, it eyes piercing green eyes gentle wild menacing r,positive
541, he rattled maracas close meeeeeeee richie rikmayall ,negative
542,every whipped stan yes including myself r,neutral
543,taverniti janis jeans distressed embroidered size x celebrity favorite ,neutral
544, anorexic thinspo thin sadquote depressed fat ugly worthless dead skinny r,negative
